id,date,type_category,incident_type,description,launch_region,latitude,longitude,distance_from_hwaseong_km,source_1,source_2,verified
1,10/14/2022,Airspace Incursions,Border Air Exercise,"10 military aircraft in border drills; flew within 3 mi of the 2018 agreement no-fly zone, 7 mi of the NLL, and 15 mi of the MDL.",Inter-Korean Border Corridor (Hwanghae / DMZ),38,126.7,92.1,CSIS Beyond Parallel,Reuters,
2,10/14/2022,Ground/Border Provocations,Artillery Buffer Zone Breach,"Fired 540 artillery rounds off both coasts in five volleys, including 90 into the Sea of Japan from Jangjon.",Maju-ri & Jangjon Coastal Sector,37.92,125.75,139.9,CSIS Beyond Parallel,Reuters,
3,11/2/2022,Missile & Strike Tests,Multi-Vector Missile Provocation,"Fired ~25 missiles (including SRBMs and SAMs) and 100 artillery shells in multiple volleys; one SRBM landed south of the NLL near Ulleung Island, triggering an air raid alert.",Wonsan Multi-Site Launch Array,39.15,127.45,216.3,CSIS Beyond Parallel,Reuters,
4,12/26/2022,Airspace Incursions,Drone Airspace Incursion,"Flew 5 drones across the inter-Korean border into Gyeonggi Province, including 1 over northern Seoul, prompting South Korea to launch counter-drones.",Gimpo / Northern Seoul Airspace (P-73 Zone),37.5665,126.978,38.9,CSIS Beyond Parallel,Reuters,
5,1/5/2024,Ground/Border Provocations,Artillery Buffer Zone Breach,"Fired ~200 artillery rounds off the west coast from Jangsan and Deungsan Capes, forcing civilian evacuations on Yeonpyeong and Baengnyeong Islands and triggering South Korean live-fire drills.",Jangsan & Deungsan Cape Sector (Yellow Sea Coast),37.76,125.4,159.2,CSIS Beyond Parallel,Reuters,
6,5/29/2024,Airspace Incursions,Cross-Border Balloon Incursion,"Floated ~260 waste-filled balloons (carrying trash, manure, and batteries) across the border in retaliation against South Korean activist leafleting.",DMZ Launch Corridors (Western & Central Sectors),37.95,126.67,88,CSIS Beyond Parallel,Reuters,
7,5/30/2024,Electronic/Asymmetric Warfare,GPS Electronic Warfare Attack,"Jammed GPS signals near the Yellow Sea NLL for a second consecutive day, following DPRK threats over ROK vessel movements.",Haeju & Kaesong EW Stations (Yellow Sea Border),37.9667,126.55,94.4,CSIS Beyond Parallel,Reuters,
8,8/4/2024,Missile & Strike Tests,Frontline Missile Deployment,Delivered 250 new tactical ballistic missile launchers (Hwasong-11D TELs) to frontline units along the South Korean border.,Pyongyang & Frontline Border Sector,39.0194,125.7381,231,CSIS Beyond Parallel,Reuters,
9,10/15/2024,Ground/Border Provocations,Border Infrastructure Demolition,"Detonated TNT explosives to sever inter-Korean Gyeongui and Donghae roads 10 meters north of the MDL, deploying heavy equipment to complete the demolition.",Gyeongui & Donghae Line Corridor (MDL),37.915,126.678,84.1,CSIS Beyond Parallel,Reuters,
10,1/25/2025,Missile & Strike Tests,Strategic Cruise Missile Test,"Test-fired multiple sea-to-surface strategic cruise missiles off the west coast; flew ~932 mi (1,500 km) in figure-8 orbits for ~125 minutes before striking targets.",Inland West Coast Corridor (Pyongnam / Nampo Sector),38.9,125.4,236.8,CSIS Beyond Parallel,Reuters,
11,5/8/2025,Missile & Strike Tests,Tactical Nuclear Strike Drill,Launched 600mm MLRS rockets and a Hwasong-11A SRBM in a simulated nuclear attack on U.S. and South Korean forces; the SRBM flew ~497 mi (800 km) on an irregular trajectory with a 62 mi (100 km) apogee into the Sea of Japan.,East Coast Sector (Wonsan / Hamhung Area),39.15,127.45,216.3,CSIS Beyond Parallel,Reuters,
12,12/28/2025,Missile & Strike Tests,Strategic Cruise Missile Test,"Fired long-range strategic cruise missiles from Sunan that flew for ~10,200 seconds (~2.8 hours) along designated flight paths over the West Sea, with an estimated range of ~1,243 mi (2,000 km).",Sunan (Pyongyang International Airport),39.198,125.67,251.1,CSIS Beyond Parallel,Reuters,
13,3/11/2026,Missile & Strike Tests,Strategic Cruise Missile Test,"Test-fired strategic cruise missiles over the Yellow Sea from the destroyer Choe Hyon, flying for 10,116 to 10,138 seconds (~2.8 hours) before hitting designated targets.",Nampo Offshore Sector (West Coast Sea Sector),38.7,125.1,238.3,CSIS Beyond Parallel,Reuters,
14,5/26/2026,Missile & Strike Tests,Tactical Missile Test,Fired multiple SRBMs and projectiles from Chongju toward the Yellow Sea; missiles flew approximately 50 miles (80 km).,"Chongju (Jongju) Sector, North Pyongan Province",39.6917,125.21,318.4,CSIS Beyond Parallel,Reuters,
15,6/25/2026,Missile & Strike Tests,Tactical Missile Test,Test-fired two Hwasong-11D CRBMs toward Ung Island (~45 mi / 72 km range) along with upgraded 240mm MLRS and 155mm self-propelled howitzers.,"Ragwon County, South Hamgyong Province",39.91,128.05,310,CSIS Beyond Parallel,Reuters,
